BugName,Notes,TBar-time,TBar-10k,CURE-10k,SequenceR-50,Hercules-NFL,SimFix,fixminer,dlfix,acs,capgen-NFL,PAR,SOFix,PraPR,JAID,SketchFix,LSRepair,ssFix,NPEFix,Ratchet,Codit,AVATAR,CoCoNut,ARJA,GenProg,MutRepair,kPAR,RSRepair,Kali,Dynamoth,Nopol,Cardumen,VFix,iFixR,ConFix,Restore,HDRepair,,,file_no,class_no,method_no,line_no,add_line_no,del_line_no,mod_line_no,chunk_no,fail_test_no,action_no,pattern_no,First exception,add_char_no,del_char_no,node_match,insert_node,delete_node,update_node,move_tree,insert_tree,delete_tree
Chart 1,,3,3,3,3,3,3,3,3,,3,,3,3,3,3,3,3,,,,3,3,,,3,3,,,,,,,,3,3,3,,,1,1,1,1,0,0,1,1,1,1,2,AssertionFailedError,2,2,6614,4,4,1,0,0,0
Chart 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,14,14,0,0,8,2,4,3,NullPointerException,438,0,8199,4,4,0,0,8,0
Chart 3,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,2,0,0,1,1,1,2,AssertionFailedError,46,0,4045,3,3,0,0,2,0
Chart 4,,3,3,,,,,3,,,,,3,,,,3,,,,,3,,,,,3,,,,,,3,,,,,,,1,1,1,2,2,0,0,2,22,1,2,NullPointerException,17,0,19851,5,3,0,3,1,0
Chart 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,5,4,0,1,2,1,4,2,IndexOutOfBoundsException,58,33,2021,4,7,0,2,1,0
Chart 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,8,7,0,1,1,2,8,2,AssertionFailedError,176,18,335,5,2,1,2,4,0
Chart 7,,2,2,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,0,0,2,2,1,3,3,AssertionFailedError,108,108,1794,3,3,2,0,0,0
Chart 8,,3,3,3,,3,,,,,3,,,3,,3,,,,,3,,,,,,3,,,,,,,,,,3,,,1,1,1,1,0,0,1,1,1,2,3,AssertionFailedError,5,36,1781,4,4,0,0,0,0
Chart 9,,3,3,3,3,3,,,3,,,,,,3,3,,,,,,,3,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,1,2,IllegalArgumentException,31,2,3139,6,3,0,1,1,0
Chart 10,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,3,,,,,1,1,1,1,0,0,1,1,1,2,2,ComparisonFailure,41,11,44,3,0,0,1,1,0
Chart 11,,3,3,3,3,3,,3,3,,3,,3,3,,3,3,,,,3,3,3,,,,,,,,,3,,,3,3,,,,1,1,1,1,0,0,1,1,1,2,3,AssertionFailedError,25,25,2299,3,3,1,0,0,0
Chart 12,,3,3,3,,3,,3,,,,,,3,,,,,,,3,,3,3,3,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,3,3,AssertionFailedError,20,23,1948,5,7,1,2,0,0
Chart 13,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,6,5,IllegalArgumentException,42,27,2738,7,3,0,1,1,0
Chart 14,,3,2,3,,3,,,,3,,,,,,,,,,,,,3,,,,3,,,,,,3,,,,,,,2,2,4,12,12,0,0,4,4,2,3,NullPointerException,144,0,30734,6,6,0,0,4,0
Chart 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,2,5,5,0,0,3,1,2,4,AssertionFailedError,67,0,9959,5,3,0,1,2,0
Chart 16,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,2,3,0,0,3,2,8,5,3,NullPointerException,55,35,2318,4,11,1,1,2,0
Chart 17,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,2,1,0,1,1,1,5,2,IllegalArgumentException,94,40,3110,7,7,0,4,2,1
Chart 18,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,13,10,2,1,6,4,9,4,IndexOutOfBoundsException,324,39,3179,8,9,0,2,5,1
Chart 19,,3,3,,,3,,3,,3,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,1,1,2,6,6,0,0,2,2,3,3,AssertionFailedError,160,0,12781,3,3,0,0,2,0
Chart 20,,3,3,3,,,3,,3,,,,,3,,3,,3,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,1,1,1,2,3,AssertionFailedError,28,14,272,0,0,2,0,0,0
Chart 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,39,39,0,0,4,1,6,3,AssertionFailedError,901,0,2318,10,9,0,11,7,0
Chart 22,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,33,30,1,2,7,6,11,5,UnknownKeyException,764,75,1421,24,5,0,6,16,1
Chart 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,19,19,0,0,1,1,7,2,AssertionFailedError,404,0,1784,3,3,0,0,1,0
Chart 24,,3,3,3,,,,3,3,,3,,3,3,3,3,,3,,,,3,3,,,,,,,,,,,,3,3,,,,1,1,1,1,0,0,1,1,1,2,4,IllegalArgumentException,3,7,306,0,0,1,0,0,0
Chart 25,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,1,2,14,12,0,2,6,4,7,6,AssertionFailedError,224,100,1955,17,9,2,26,8,0
Chart 26,,3,3,3,,,3,3,,,,,3,3,3,,,,,,,3,3,,,,3,,,,,,3,,,3,,,,1,1,1,2,2,0,0,2,22,1,2,AssertionFailedError,21,0,4304,6,4,0,2,1,0
Clos 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,3,0,0,1,8,2,1,AssertionFailedError,29,0,3469,2,2,0,0,1,0
Clos 2,,3,3,,,,,3,,,,,,,,,,,,,,3,,,,,3,,,,,,,,,,,,,1,1,1,4,4,0,0,3,1,3,2,NullPointerException,78,0,7441,5,3,0,1,2,0
Clos 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,8,6,0,2,3,3,10,2,AssertionFailedError,180,26,1693,2,2,0,0,5,0
Clos 4,,2,3,,,3,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,1,1,2,0,0,2,2,3,2,3,AssertionFailedError,52,64,1255,2,2,2,0,0,0
Clos 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,1,1,1,3,3,0,0,1,1,3,1,AssertionFailedError,39,0,1721,5,5,0,0,1,0
Clos 6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,8,0,8,0,4,3,2,2,AssertionFailedError,0,336,3232,2,6,0,6,0,4
